objectid,filename,title,format,description,creator,date,date-is-approximate?,item_information,subject,location,source,findingaid,original-identifier,identifier,rights,rightsstatement,type,language
seyffers001,Freddy-met-gezin-voor-auto.png,Seyffers-Krellstein Family in Front of Car,image/jpeg,"Photo of Seyffers and Krellstein families, including Teddy Krellstein, in front of a car",Unknown,Pre-1940,Yes,Photograph,"Belgium--History--German occupation, 1940-1945",Unknown (likely Belgium),De Vriidagavond,https://lis2222pitt.lyrtech.org/staff/resources/20#tree::resource_20,"Series 1, Folder 2, Seyffers Family Group Photos, 1935-1944",LS.07,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,"French, Dutch, English"
seyffers002,26.2-familie-SEYFFERS-KRELLSTEIN-P001673.jpg,Seyffers Children with Aunt,image/jpeg,Black and white photo of Myriam and Maxime Seyffers with their aunt Berthe Krellstein in Brussels,Unknown,Pre-1940,Yes,Photograph,"Belgium--History--German occupation, 1940-1945",Unknown (likely Belgium),"Kazerne Dossin Memorial, Museum and Documentation Center",https://lis2222pitt.lyrtech.org/staff/resources/20#tree::resource_20,"Series 1, Folder 2, Seyffers Family Group Photos, 1935-1944",LS.01,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,"French, Dutch, English"
seyffers003,Seyffers-Krellstein Family.jpg,Photo of Seyffers-Krellstein Family,image/jpeg,"Black and white photo of Sarah, Maxime, and Myriam Seyffers; the two children are sitting on the wheel of a wagon",Unknown,Pre-1940,Yes,Photograph,"Belgium--History--German occupation, 1940-1945",Unknown (likely Belgium),"Kazerne Dossin Memorial, Museum and Documentation Center",https://lis2222pitt.lyrtech.org/staff/resources/20#tree::resource_20,"Series 1, Folder 2, Seyffers Family Group Photos, 1935-1944",LS.06,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,"French, Dutch, English"
seyffers004,KD_00017_XXVI - 0292 - KRELLSTEIN Sonja.jpg,Sarah Krellstein,image/jpeg,Black and white photo of Sara Seyffers,Unknown,Pre-1940,Yes,Photograph,"Belgium--History--German occupation, 1940-1945",Unknown (likely Belgium),"Kazerne Dossin Memorial, Museum and Documentation Center",https://lis2222pitt.lyrtech.org/staff/resources/20#tree::resource_20,"Series 1, Folder 1, Seyffers Family Headshots, 1935-1944",LS.03,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,"French, Dutch, English"
seyffers005,KD_00017_XXVI - 0293 - SEYFFERS Maxime.jpg,Maxime Seyffers,image/jpeg,Black and white photo of Maxime Seyffers,Unknown,Pre-1940,Yes,Photograph,"Belgium--History--German occupation, 1940-1945",Unknown (likely Belgium),"Kazerne Dossin Memorial, Museum and Documentation Center",https://lis2222pitt.lyrtech.org/staff/resources/20#tree::resource_20,"Series 1, Folder 1, Seyffers Family Headshots, 1935-1944",LS.04,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,"French, Dutch, English"
seyffers006,KD_00017_XXVI - 0294 - SEYFFERS Myriam.jpg,Myriam Seyffers,image/jpeg,Black and white photo of Myriam Seyffers,Unknown,Pre-1940,Yes,Photograph,"Belgium--History--German occupation, 1940-1945",Unknown (likely Belgium),"Kazerne Dossin Memorial, Museum and Documentation Center",https://lis2222pitt.lyrtech.org/staff/resources/20#tree::resource_20,"Series 1, Folder 1, Seyffers Family Headshots, 1935-1944 Folder - 'Frank B. Robinson Negatives'",LS.05,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,"French, Dutch, English"
seyffers007,KD_00017_XXVI - 0291 - SEYFFERS Léon.jpg,Léon Seyffers,image/jpeg,Black and white photo of Léon Seyffers,Unknown,Post-1945,Yes,Photograph,"Belgium--History--German occupation, 1940-1945",Unknown (likely Belgium),"Kazerne Dossin Memorial, Museum and Documentation Center",https://lis2222pitt.lyrtech.org/staff/resources/20#tree::resource_20,"Series 1, Folder 1, Seyffers Family Headshots, 1935-1944",LS.02,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,"French, Dutch, English"
seyffers008,Back of Head of Woman.jpeg,Head of Woman Frame,image/jpeg,"Photo of back of paintng, Head of Woman, with frame with Goudstikker label","Office of the U.S. High Commissioner for Germany, Offfice of Economic Affairs Dviision",Post-1945,Yes,Photograph,"Belgium--History--German occupation, 1940-1945","Wiesbaden, Germany","NARA, Fold3",https://lis2222pitt.lyrtech.org/staff/resources/20#tree::resource_20,"Series 4, Folder 2, Wiesbaden Central Collection Point Records, 1945-1950",LS.64,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,"French, Dutch, English"
seyffers009,Head of Woman at Wiesbaden.jpg,Head of Woman in Wiesbaden Collecting Point,image/jpeg,Photo of Head of Woman with boxes,"Office of the U.S. High Commissioner for Germany, Offfice of Economic Affairs Dviision",Post-1945,Yes,Photograph,"Belgium--History--German occupation, 1940-1945","Wiesbaden, Germany","NARA, Fold3",https://lis2222pitt.lyrtech.org/staff/resources/20#tree::resource_20,"Series 4, Folder 2, Wiesbaden Central Collection Point Records, 1945-1950",LS.62,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,"French, Dutch, English"
seyffers010,Head of Woman Card.jpg,Property Card: WTE 4021/2 Heilbronn (written 267) Head of Woman,image/jpeg,"Property card for Head of a Woman. Notes: ""Written on wooden stretcher Leon Seyffers, 14 R la Regence, Bruxelles.""","Office of the U.S. High Commissioner for Germany, Offfice of Economic Affairs Dviision",3/21/46,No,Photograph,"Belgium--History--German occupation, 1940-1945","Heilbronn, Germany","NARA, Fold3",https://lis2222pitt.lyrtech.org/staff/resources/20#tree::resource_20,"Series 4, Folder 2, Wiesbaden Central Collection Point Records, 1945-1950",LS.61,Educational use includes non-commercial use of text and images in materials for teaching and research purposes.,https://rightsstatements.org/vocab/InC-EDU/1.0/,Image;StillImage,"French, Dutch, English"